dependent.var,repeat.var.value,population.group,numbers
w4_vii,deir_balah,all,0.011584989
w4_vii,gaza,all,0.039196564
w4_vii,rafah,all,0
w4_vii,north_gaza,all,0.046379364
w9,khan_yunis,all,0.157865658
w9,deir_balah,all,0.050720098
w9,gaza,all,0.08546135
w9,rafah,all,0.017304786
w9,north_gaza,all,0.263127372
w9_a,khan_yunis,all,0.78798876
w9_a,deir_balah,all,0.893912065
w9_a,gaza,all,0.916019039
w9_a,rafah,all,0.93169505
w9_a,north_gaza,all,0.974308565
w9_b,khan_yunis,all,0.649328382
w9_b,deir_balah,all,0.460269844
w9_b,gaza,all,0.66415042
w9_b,rafah,all,0.795085151
w9_b,north_gaza,all,0.346953855
w10,khan_yunis,all,0.653596994
w10,deir_balah,all,0.876920698
w10,gaza,all,0.961230358
w10,rafah,all,0.982528959
w10,north_gaza,all,0.885405188
w11,khan_yunis,all,0.113324811
w11,deir_balah,all,0.114091139
w11,gaza,all,0.043494047
w11,rafah,all,0.208239027
w11,north_gaza,all,0.115875449
s1,khan_yunis,all,0.187567349
s1,deir_balah,all,0.18187851
s1,gaza,all,0.060474723
s1,rafah,all,0.258869955
s1,north_gaza,all,0.127327481
s2_a,khan_yunis,all,0.563275673
s2_a,deir_balah,all,0.415127736
s2_a,gaza,all,0.354797492
s2_a,rafah,all,0.491371546
s2_a,north_gaza,all,0.363981268
s2,khan_yunis,all,Inf
s2,deir_balah,all,Inf
s2,gaza,all,Inf
s2,rafah,all,Inf
s2,north_gaza,all,Inf
sp1_i,khan_yunis,all,0.867470741
sp1_i,deir_balah,all,0.863896774
sp1_i,gaza,all,0.812488759
sp1_i,rafah,all,0.880183921
sp1_i,north_gaza,all,0.862843648
sp1_ii,khan_yunis,all,0.046106613
sp1_ii,deir_balah,all,0.036928419
sp1_ii,gaza,all,0.071988168
sp1_ii,rafah,all,0.046344626
sp1_ii,north_gaza,all,0.062074636
sp1_iii,khan_yunis,all,0.085209226
sp1_iii,deir_balah,all,0.094976771
sp1_iii,gaza,all,0.115460234
sp1_iii,rafah,all,0.062501932
sp1_iii,north_gaza,all,0.068353941
sp1_iv,khan_yunis,all,0.00121342
sp1_iv,deir_balah,all,0.004198036
sp1_iv,gaza,all,6.28E-05
sp1_iv,rafah,all,0.010969521
sp1_iv,north_gaza,all,0.006727776
sp2,khan_yunis,all,0.088542948
sp2,deir_balah,all,0.036096486
sp2,gaza,all,0.072629663
sp2,rafah,all,0.066179166
sp2,north_gaza,all,0.049041134
sp3_i,khan_yunis,all,0.006852157
sp3_i,deir_balah,all,0.043791762
sp3_i,gaza,all,0
sp3_i,rafah,all,0
sp3_i,north_gaza,all,0
sp3_ii,khan_yunis,all,0.148791358
sp3_ii,deir_balah,all,0.260680884
sp3_ii,gaza,all,0.484051505
sp3_ii,rafah,all,0.340881338
sp3_ii,north_gaza,all,0.224937715
sp3_iii,khan_yunis,all,0.208460212
sp3_iii,deir_balah,all,0.483340939
sp3_iii,gaza,all,0.109399274
sp3_iii,rafah,all,0.11025757
sp3_iii,north_gaza,all,0
sp3_iv,khan_yunis,all,0.004679888
sp3_iv,deir_balah,all,0
sp3_iv,gaza,all,0
sp3_iv,rafah,all,0.098233542
sp3_iv,north_gaza,all,0.022379239
sp3_v,khan_yunis,all,0.179688775
sp3_v,deir_balah,all,0.093868537
sp3_v,gaza,all,0.200502557
sp3_v,rafah,all,0.367672304
sp3_v,north_gaza,all,0.359420961
sp3_vi,khan_yunis,all,0.347774248
sp3_vi,deir_balah,all,0.036730642
sp3_vi,gaza,all,0.001730384
sp3_vi,rafah,all,0.106125884
sp3_vi,north_gaza,all,0.225160833
sp3_vii,khan_yunis,all,0.077302002
sp3_vii,deir_balah,all,0.058288564
sp3_vii,gaza,all,0.092966452
sp3_vii,rafah,all,0.054760238
sp3_vii,north_gaza,all,0.073983741
sp3_viii,khan_yunis,all,0
sp3_viii,deir_balah,all,0
sp3_viii,gaza,all,0
sp3_viii,rafah,all,0
sp3_viii,north_gaza,all,0
sp3_ix,khan_yunis,all,0.006852157
sp3_ix,deir_balah,all,0.005725594
sp3_ix,gaza,all,0
sp3_ix,rafah,all,0
sp3_ix,north_gaza,all,0.073983741
sp3_x,khan_yunis,all,0.06835608
sp3_x,deir_balah,all,0.13413941
sp3_x,gaza,all,0.111349829
sp3_x,rafah,all,0.096606409
sp3_x,north_gaza,all,0.188654632
s3,khan_yunis,all,0.634362481
s3,deir_balah,all,0.570053931
s3,gaza,all,0.549672547
s3,rafah,all,0.666549334
s3,north_gaza,all,0.744776104
sp4,khan_yunis,all,NA
sp4,deir_balah,all,NA
sp4,gaza,all,NA
sp4,rafah,all,NA
sp4,north_gaza,all,NA
sp4_i,khan_yunis,all,NA
sp4_i,deir_balah,all,NA
sp4_i,gaza,all,NA
sp4_i,rafah,all,NA
sp4_i,north_gaza,all,NA
sp4_ii,khan_yunis,all,NA
sp4_ii,deir_balah,all,NA
sp4_ii,gaza,all,NA
sp4_ii,rafah,all,NA
sp4_ii,north_gaza,all,NA
sp4_iii,khan_yunis,all,NA
sp4_iii,deir_balah,all,NA
sp4_iii,gaza,all,NA
sp4_iii,rafah,all,NA
sp4_iii,north_gaza,all,NA
sp4_iv,khan_yunis,all,NA
sp4_iv,deir_balah,all,NA
sp4_iv,gaza,all,NA
sp4_iv,rafah,all,NA
sp4_iv,north_gaza,all,NA
sp4_v,khan_yunis,all,NA
sp4_v,deir_balah,all,NA
sp4_v,gaza,all,NA
sp4_v,rafah,all,NA
sp4_v,north_gaza,all,NA
sp4_vi,khan_yunis,all,NA
sp4_vi,deir_balah,all,NA
