dependent.var,repeat.var.value,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers
fl2_vii,khan_yunis,female_headed,0.073350055,male_headed,0.037050661,refugees,0.033771894,non_refugees,0.054710588,in_camp_refugee,0,out_camp_refugee,0.040833779,NA,0.041365615
fl2_vii,deir_balah,female_headed,0.019709534,male_headed,0.009850397,refugees,0.010730073,non_refugees,0.015375417,in_camp_refugee,0.011707697,out_camp_refugee,0.01018017,NA,0.011396127
fl2_vii,gaza,female_headed,0,male_headed,0.011294386,refugees,0.005296403,non_refugees,0.016655752,in_camp_refugee,0.049180328,out_camp_refugee,0,NA,0.010330733
fl2_vii,rafah,female_headed,0.022570274,male_headed,0.019771161,refugees,0.021913099,non_refugees,0.005308172,in_camp_refugee,0.015625,out_camp_refugee,0.023254964,NA,0.02006434
fl2_vii,north_gaza,female_headed,0.021004207,male_headed,0.034170684,refugees,0.015078873,non_refugees,0.079393737,in_camp_refugee,0.007518797,out_camp_refugee,0.016800922,NA,0.032919903
fl2_viii,khan_yunis,female_headed,0.504184805,male_headed,0.488869369,refugees,0.455624092,non_refugees,0.552313563,in_camp_refugee,0.5,out_camp_refugee,0.44634485,NA,0.490689934
fl2_viii,deir_balah,female_headed,0.427891696,male_headed,0.426725566,refugees,0.440542652,non_refugees,0.345451521,in_camp_refugee,0.529066221,out_camp_refugee,0.390749093,NA,0.426908393
fl2_viii,gaza,female_headed,0.486969088,male_headed,0.504575832,refugees,0.495321604,non_refugees,0.512813035,in_camp_refugee,0.614754098,out_camp_refugee,0.480907154,NA,0.5030736
fl2_viii,rafah,female_headed,0.459455754,male_headed,0.640805478,refugees,0.626255973,non_refugees,0.586332306,in_camp_refugee,0.6953125,out_camp_refugee,0.611519483,NA,0.621810952
fl2_viii,north_gaza,female_headed,0.464934616,male_headed,0.573582539,refugees,0.556943382,non_refugees,0.579718657,in_camp_refugee,0.37593985,out_camp_refugee,0.59817274,NA,0.563261275
fl2_ix,khan_yunis,female_headed,0.089363247,male_headed,0.137441584,refugees,0.117739271,non_refugees,0.15630709,in_camp_refugee,0.129032258,out_camp_refugee,0.115377847,NA,0.131726451
fl2_ix,deir_balah,female_headed,0.098774083,male_headed,0.153656967,refugees,0.14971074,non_refugees,0.11722113,in_camp_refugee,0.156527312,out_camp_refugee,0.145876492,NA,0.145052348
fl2_ix,gaza,female_headed,0.018942702,male_headed,0.078925923,refugees,0.118563269,non_refugees,0.01757864,in_camp_refugee,0.155737705,out_camp_refugee,0.114076642,NA,0.073808071
fl2_ix,rafah,female_headed,0.174445921,male_headed,0.229784726,refugees,0.213282755,non_refugees,0.309438586,in_camp_refugee,0.1484375,out_camp_refugee,0.22712057,NA,0.223988553
fl2_ix,north_gaza,female_headed,0.042030836,male_headed,0.053317022,refugees,0.044178544,non_refugees,0.073256701,in_camp_refugee,0.060150376,out_camp_refugee,0.040540447,NA,0.052244864
fl2_x,khan_yunis,female_headed,0.068961924,male_headed,0.061393255,refugees,0.056038183,non_refugees,0.073284893,in_camp_refugee,0.008064516,out_camp_refugee,0.066069735,NA,0.062292953
fl2_x,deir_balah,female_headed,0.061623161,male_headed,0.025025783,refugees,0.028344327,non_refugees,0.045217181,in_camp_refugee,0.017593456,out_camp_refugee,0.034391577,NA,0.030763573
fl2_x,gaza,female_headed,0,male_headed,0.014406655,refugees,0.009833956,non_refugees,0.017378161,in_camp_refugee,0.057377049,out_camp_refugee,0.004095924,NA,0.013177459
fl2_x,rafah,female_headed,0.058429579,male_headed,0.075674211,refugees,0.068734062,non_refugees,0.114845452,in_camp_refugee,0.0234375,out_camp_refugee,0.078400236,NA,0.073868012
fl2_x,north_gaza,female_headed,0.002273542,male_headed,0.0031594,refugees,0.001643917,non_refugees,0.006803693,in_camp_refugee,0,out_camp_refugee,0.002018372,NA,0.003075246
fl2_xi,khan_yunis,female_headed,0.178719972,male_headed,0.363779467,refugees,0.340709943,non_refugees,0.343663826,in_camp_refugee,0.322580645,out_camp_refugee,0.344500876,NA,0.341781211
fl2_xi,deir_balah,female_headed,0.333792209,male_headed,0.293199596,refugees,0.298063989,non_refugees,0.308524062,in_camp_refugee,0.326539876,out_camp_refugee,0.282046608,NA,0.299563765
fl2_xi,gaza,female_headed,0.124283566,male_headed,0.325711376,refugees,0.295958916,non_refugees,0.324313362,in_camp_refugee,0.483606557,out_camp_refugee,0.273311498,NA,0.308525273
fl2_xi,rafah,female_headed,0.401442747,male_headed,0.400837195,refugees,0.393129138,non_refugees,0.462929945,in_camp_refugee,0.4296875,out_camp_refugee,0.385327674,NA,0.40090062
fl2_xi,north_gaza,female_headed,0.356047613,male_headed,0.376899212,refugees,0.337984441,non_refugees,0.471126992,in_camp_refugee,0.210526316,out_camp_refugee,0.367017115,NA,0.374918365
fl2_xii,khan_yunis,female_headed,0.027148029,male_headed,0.043915454,refugees,0.042630011,non_refugees,0.040678561,in_camp_refugee,0.040322581,out_camp_refugee,0.043112508,NA,0.041922289
